Startzeitpunkt;Start_text;Endezeitpunkt;Ende_text;Elektrische Leitfähigkeit [µS/cm];Sauerstoffgehalt [mg/L];pH-Wert;Temperatur [°C]
2023-02-13T02:45:00+00:00;13.02.2023 03:45:00;2023-02-13T03:00:00+00:00;13.02.2023 04:00:00;432.6;13.07;8.16;5.27
2023-02-13T03:45:00+00:00;13.02.2023 04:45:00;2023-02-13T04:00:00+00:00;13.02.2023 05:00:00;431.5;13.1;8.16;5.27
2023-02-13T04:15:00+00:00;13.02.2023 05:15:00;2023-02-13T04:30:00+00:00;13.02.2023 05:30:00;431.3;13.13;8.17;5.26
2023-02-13T02:30:00+00:00;13.02.2023 03:30:00;2023-02-13T02:45:00+00:00;13.02.2023 03:45:00;433.3;13.06;8.16;5.28
2023-01-30T04:15:00+00:00;30.01.2023 05:15:00;2023-01-30T04:30:00+00:00;30.01.2023 05:30:00;422.3;12.2;8.05;5.63
2023-01-30T06:15:00+00:00;30.01.2023 07:15:00;2023-01-30T06:30:00+00:00;30.01.2023 07:30:00;419.0;12.18;8.04;5.59
2023-01-30T07:30:00+00:00;30.01.2023 08:30:00;2023-01-30T07:45:00+00:00;30.01.2023 08:45:00;418.1;12.14;8.04;5.57
2023-01-30T08:00:00+00:00;30.01.2023 09:00:00;2023-01-30T08:15:00+00:00;30.01.2023 09:15:00;417.1;12.17;8.04;5.57
2023-01-30T08:30:00+00:00;30.01.2023 09:30:00;2023-01-30T08:45:00+00:00;30.01.2023 09:45:00;416.7;12.17;8.04;5.57
2023-01-30T09:15:00+00:00;30.01.2023 10:15:00;2023-01-30T09:30:00+00:00;30.01.2023 10:30:00;415.1;12.19;8.04;5.57
2023-01-30T11:30:00+00:00;30.01.2023 12:30:00;2023-01-30T11:45:00+00:00;30.01.2023 12:45:00;417.0;12.17;8.04;5.62
2023-01-30T13:00:00+00:00;30.01.2023 14:00:00;2023-01-30T13:15:00+00:00;30.01.2023 14:15:00;421.4;12.14;8.04;5.64
2023-01-30T12:45:00+00:00;30.01.2023 13:45:00;2023-01-30T13:00:00+00:00;30.01.2023 14:00:00;421.8;12.11;8.04;5.65
2023-01-30T11:45:00+00:00;30.01.2023 12:45:00;2023-01-30T12:00:00+00:00;30.01.2023 13:00:00;417.5;12.17;8.04;5.62
2023-01-30T15:15:00+00:00;30.01.2023 16:15:00;2023-01-30T15:30:00+00:00;30.01.2023 16:30:00;418.0;12.16;8.03;5.65
2023-01-30T15:00:00+00:00;30.01.2023 16:00:00;2023-01-30T15:15:00+00:00;30.01.2023 16:15:00;418.1;12.19;8.03;5.65
2023-01-30T15:45:00+00:00;30.01.2023 16:45:00;2023-01-30T16:00:00+00:00;30.01.2023 17:00:00;414.0;12.22;8.04;5.64
2023-01-30T16:00:00+00:00;30.01.2023 17:00:00;2023-01-30T16:15:00+00:00;30.01.2023 17:15:00;414.6;12.23;8.04;5.64
2023-01-30T16:15:00+00:00;30.01.2023 17:15:00;2023-01-30T16:30:00+00:00;30.01.2023 17:30:00;417.6;12.2;8.03;5.65
2023-01-30T16:45:00+00:00;30.01.2023 17:45:00;2023-01-30T17:00:00+00:00;30.01.2023 18:00:00;420.7;12.17;8.03;5.65
2023-01-30T17:30:00+00:00;30.01.2023 18:30:00;2023-01-30T17:45:00+00:00;30.01.2023 18:45:00;418.4;12.21;8.03;5.64
2023-01-30T18:15:00+00:00;30.01.2023 19:15:00;2023-01-30T18:30:00+00:00;30.01.2023 19:30:00;415.9;12.22;8.04;5.62
2023-01-30T18:00:00+00:00;30.01.2023 19:00:00;2023-01-30T18:15:00+00:00;30.01.2023 19:15:00;417.6;12.19;8.03;5.64
2023-01-30T17:45:00+00:00;30.01.2023 18:45:00;2023-01-30T18:00:00+00:00;30.01.2023 19:00:00;418.0;12.21;8.03;5.64
