Zeitstempel;Niederschlag;Luftfeuchtigkeit;Globalstrahlung [W/m2];Lufttemperatur;Windgeschwindigkeit;Windrichtung
2023-05-07T19:00:01+02:00;0.2;71.39;65.0;17.94;1.7;19.0
2023-05-07T23:00:01+02:00;0.4;94.71;0.0;15.0;0.8;309.0
2023-05-08T03:00:01+02:00;0.0;95.42;0.0;14.65;0.7;290.0
2023-05-08T14:00:01+02:00;0.0;77.39;266.0;16.86;1.0;42.0
2023-05-08T15:00:01+02:00;0.0;72.82;302.0;17.73;1.3;80.0
2023-05-08T18:00:01+02:00;0.0;64.12;257.0;19.66;0.7;165.0
2023-05-08T19:00:01+02:00;1.4;70.96;84.0;19.01;0.7;269.0
2023-04-30T06:00:01+02:00;0.0;87.35;0.0;10.98;0.7;162.0
2023-04-30T08:00:01+02:00;0.0;89.17;69.0;10.92;0.6;152.0
2023-04-30T13:00:01+02:00;0.0;65.73;493.0;15.69;0.8;106.0
2023-04-30T09:00:01+02:00;0.0;89.5;163.0;11.28;0.8;146.0
2023-04-30T11:00:01+02:00;0.0;78.78;410.0;13.23;0.9;160.0
2023-05-01T05:00:01+02:00;2.0;96.11;0.0;11.28;0.1;355.0
2023-05-01T06:00:01+02:00;0.8;99.51;0.0;11.23;0.0;109.0
2023-05-01T11:00:01+02:00;1.0;99.68;109.0;11.88;0.2;285.0
2023-05-01T17:00:01+02:00;0.0;53.4;248.0;16.75;1.7;52.0
2023-04-30T19:00:01+02:00;0.0;53.21;47.0;17.62;0.9;170.0
2023-05-01T00:00:01+02:00;0.0;60.2;0.0;14.66;0.6;37.0
2023-05-01T01:00:01+02:00;0.0;60.94;0.0;14.25;0.6;87.0
2023-05-01T02:00:01+02:00;0.0;66.17;0.0;13.61;0.6;59.0
2023-05-01T09:00:01+02:00;3.0;99.99;24.0;11.1;0.0;324.0
2023-05-01T13:00:01+02:00;0.0;81.09;405.0;14.49;0.8;299.0
2023-05-01T15:00:01+02:00;0.0;67.44;405.0;16.0;1.0;299.0
2023-05-02T12:00:01+02:00;0.0;62.86;581.0;14.99;1.2;130.0
2023-05-02T14:00:01+02:00;0.0;52.61;678.0;17.07;1.2;120.0
