minute	Datum	Tageszeit	Wassertemperatur	Lufttemperatur	WLdiff
2023-04-30T05:00	2023-04-30	05:00	12.32	11.02	1.3
2023-04-30T06:00	2023-04-30	06:00	12.3	10.98	1.32
2023-04-30T07:00	2023-04-30	07:00	12.28	10.93	1.35
2023-04-30T08:00	2023-04-30	08:00	12.24	10.92	1.32
2023-04-30T09:00	2023-04-30	09:00	12.2	11.28	0.92
2023-04-30T10:00	2023-04-30	10:00	12.2	11.93	0.27
2023-04-30T11:00	2023-04-30	11:00	12.25	13.23	-0.98
2023-04-30T12:00	2023-04-30	12:00	12.29	14.46	-2.17
2023-04-30T13:00	2023-04-30	13:00	12.34	15.69	-3.35
2023-04-30T14:00	2023-04-30	14:00	12.4	16.51	-4.11
2023-04-30T15:00	2023-04-30	15:00	12.47	17.23	-4.76
2023-04-30T16:00	2023-04-30	16:00	12.5	17.79	-5.29
2023-04-30T17:00	2023-04-30	17:00	12.53	17.74	-5.21
2023-04-30T18:00	2023-04-30	18:00	12.55	17.8	-5.25
2023-04-30T19:00	2023-04-30	19:00	12.52	17.62	-5.1
2023-04-30T20:00	2023-04-30	20:00	12.5	17.33	-4.83
2023-04-30T21:00	2023-04-30	21:00	12.51	16.74	-4.23
2023-04-30T22:00	2023-04-30	22:00	12.52	15.99	-3.47
2023-04-30T23:00	2023-04-30	23:00	12.51	15.33	-2.82
2023-05-01T00:00	2023-05-01	00:00	12.5	14.66	-2.16
2023-05-01T01:00	2023-05-01	01:00	12.5	14.25	-1.75
2023-05-01T02:00	2023-05-01	02:00	12.49	13.61	-1.12
2023-05-01T03:00	2023-05-01	03:00	12.47	12.75	-0.28
2023-05-01T04:00	2023-05-01	04:00	12.46	11.84	0.62
2023-05-01T05:00	2023-05-01	05:00	12.44	11.28	1.16
2023-05-01T06:00	2023-05-01	06:00	12.44	11.23	1.21
2023-05-01T07:00	2023-05-01	07:00	12.43	11.16	1.27
2023-05-01T08:00	2023-05-01	08:00	12.39	10.99	1.4
2023-05-01T09:00	2023-05-01	09:00	12.34	11.1	1.24
2023-05-01T10:00	2023-05-01	10:00	12.3	11.39	0.91
2023-05-01T11:00	2023-05-01	11:00	12.27	11.88	0.39
2023-05-01T12:00	2023-05-01	12:00	12.23	12.87	-0.64
2023-05-01T13:00	2023-05-01	13:00	12.25	14.49	-2.24
2023-05-01T14:00	2023-05-01	14:00	12.34	15.45	-3.11
2023-05-01T15:00	2023-05-01	15:00	12.42	16.0	-3.58
2023-05-01T16:00	2023-05-01	16:00	12.47	16.95	-4.48
2023-05-01T17:00	2023-05-01	17:00	12.52	16.75	-4.23
2023-05-01T18:00	2023-05-01	18:00	12.53	17.06	-4.53
2023-05-01T19:00	2023-05-01	19:00	12.54	16.35	-3.81
2023-05-01T20:00	2023-05-01	20:00	12.52	15.82	-3.3
2023-05-01T21:00	2023-05-01	21:00	12.49	15.0	-2.51
2023-05-01T22:00	2023-05-01	22:00	12.47	14.26	-1.79
2023-05-01T23:00	2023-05-01	23:00	12.47	14.12	-1.65
2023-05-02T00:00	2023-05-02	00:00	12.44	13.19	-0.75
2023-05-02T01:00	2023-05-02	01:00	12.39	11.9	0.49
2023-05-02T02:00	2023-05-02	02:00	12.34	11.58	0.76
2023-05-02T03:00	2023-05-02	03:00	12.29	11.16	1.13
2023-05-02T04:00	2023-05-02	04:00	12.19	10.97	1.22
2023-05-02T05:00	2023-05-02	05:00	12.1	10.41	1.69
2023-05-02T06:00	2023-05-02	06:00	12.0	10.09	1.91
2023-05-02T07:00	2023-05-02	07:00	11.93	9.84	2.09
2023-05-02T08:00	2023-05-02	08:00	11.86	10.42	1.44
2023-05-02T09:00	2023-05-02	09:00	11.83	12.18	-0.35
2023-05-02T10:00	2023-05-02	10:00	11.8	13.5	-1.7
2023-05-02T11:00	2023-05-02	11:00	11.77	14.66	-2.89
2023-05-02T12:00	2023-05-02	12:00	11.8	14.99	-3.19
2023-05-02T13:00	2023-05-02	13:00	11.85	16.08	-4.23
2023-05-02T14:00	2023-05-02	14:00	11.91	17.07	-5.16
